Duration,EST,Ephraim (Total),Lyon (Total),Ephraim (Hourly),Lyon (Hourly),Ephraim Bonus,Lyon Bonus,Multiplier,Lead Difference Ephraim vs Lyon,,Ephraim ,Lyon,1st Hr Ratio,Current Ratio,Round Over?,Ephraim % Difference (<=99 for Bonus),Lyon % Difference (<=99 for Bonus),Top Multiplier Line,Bot Multiplier Line
0,3:00 AM ,0,0,0,0,N/A,N/A,3.1,0,Hourly Avg,"36,079,974","14,306,538",3.018 : 1,2.5219 : 1,YES,,,0,0
1,4:00 AM ,"13,645,437","4,521,344","13,645,437","4,521,344",NO,YES,3.2,"9,124,093",Bonus Avg,"156,097,928","49,280,781",,,,301.80%,33.13%,"136,454","-45,213"
2,5:00 AM ,"34,317,680","65,784,543","20,672,243","61,263,199",YES,NO,3.3,"-31,466,863",Current Total,"9,416,361,014","10,110,739,657",,,,52.17%,191.69%,"343,177","-657,845"
3,6:00 AM ,"251,510,931","73,585,064","217,193,251","7,800,521",NO,YES,3.4,"177,925,867",Bonus Active,YES,NO,,,,341.80%,29.26%,"2,515,109","-735,851"
4,7:00 AM ,"281,450,270","158,009,709","29,939,339","84,424,645",NO,YES,3.5,"123,440,561",,The sheet was last updated by the bot at 5:15:15 AM EDT,,,,,178.12%,56.14%,"2,814,503","-1,580,097"
5,8:00 AM ,"309,553,528","250,219,024","28,103,258","92,209,315",NO,YES,3.6,"59,334,504",,,,,,,123.71%,80.83%,"3,095,535","-2,502,190"
6,9:00 AM ,"344,160,117","363,337,985","34,606,589","113,118,961",YES,NO,3.7,"-19,177,868",,,,,,,94.72%,105.57%,"3,441,601","-3,633,380"
7,10:00 AM ,"802,983,789","377,071,138","458,823,672","13,733,153",NO,YES,3.8,"425,912,651",,,,,,,212.95%,46.96%,"8,029,838","-3,770,711"
8,11:00 AM ,"848,576,683","514,684,132","45,592,894","137,612,994",NO,YES,3.9,"333,892,551",,,,,,,164.87%,60.65%,"8,485,767","-5,146,841"
9,12:00 PM ,"884,216,113","643,798,786","35,639,430","129,114,654",NO,YES,4.0,"240,417,327",,,,,,,137.34%,72.81%,"8,842,161","-6,437,988"
10,1:00 PM ,"916,517,392","771,927,424","32,301,279","128,128,638",NO,YES,4.1,"144,589,968",,,,,,,118.73%,84.22%,"9,165,174","-7,719,274"
11,2:00 PM ,"945,954,857","889,383,618","29,437,465","117,456,194",NO,YES,4.2,"56,571,239",,,,,,,106.36%,94.02%,"9,459,549","-8,893,836"
12,3:00 PM ,"976,524,002","1,011,106,062","30,569,145","121,722,444",YES,NO,4.3,"-34,582,060",,,,,,,96.58%,103.54%,"9,765,240","-10,111,061"
13,4:00 PM ,"1,425,417,268","1,022,148,172","448,893,266","11,042,110",NO,YES,4.4,"403,269,096",,,,,,,139.45%,71.71%,"14,254,173","-10,221,482"
14,5:00 PM ,"1,466,215,725","1,157,010,475","40,798,457","134,862,303",NO,YES,4.5,"309,205,250",,,,,,,126.72%,78.91%,"14,662,157","-11,570,105"
15,6:00 PM ,"1,498,334,976","1,296,042,537","32,119,251","139,032,062",NO,YES,4.6,"202,292,439",,,,,,,115.61%,86.50%,"14,983,350","-12,960,425"
16,7:00 PM ,"1,532,227,933","1,462,426,189","33,892,957","166,383,652",NO,YES,4.7,"69,801,744",,,,,,,104.77%,95.44%,"15,322,279","-14,624,262"
17,8:00 PM ,"1,563,684,978","1,615,618,447","31,457,045","153,192,258",YES,NO,4.8,"-51,933,469",,,,,,,96.79%,103.32%,"15,636,850","-16,156,184"
18,9:00 PM ,"2,172,452,188","1,626,605,927","608,767,210","10,987,480",NO,YES,4.9,"545,846,261",,,,,,,133.56%,74.87%,"21,724,522","-16,266,059"
19,10:00 PM ,"2,211,805,152","1,768,692,362","39,352,964","142,086,435",NO,YES,5.0,"443,112,790",,,,,,,125.05%,79.97%,"22,118,052","-17,686,924"
20,11:00 PM ,"2,245,055,184","1,945,538,412","33,250,032","176,846,050",NO,YES,5.1,"299,516,772",,,,,,,115.40%,86.66%,"22,450,552","-19,455,384"
21,12:00 AM ,"2,275,095,187","2,124,723,658","30,040,003","179,185,246",NO,YES,5.2,"150,371,529",,,,,,,107.08%,93.39%,"22,750,952","-21,247,237"
22,1:00 AM ,"2,302,106,158","2,280,650,155","27,010,971","155,926,497",NO,NO,5.3,"21,456,003",,,,,,,100.94%,99.07%,"23,021,062","-22,806,502"
23,2:00 AM ,"2,327,902,327","2,290,589,951","25,796,169","9,939,796",NO,YES,5.4,"37,312,376",,,,,,,101.63%,98.40%,"23,279,023","-22,905,900"
24,3:00 AM ,"2,350,900,406","2,444,553,707","22,998,079","153,963,756",YES,NO,5.5,"-93,653,301",,,,,,,96.17%,103.98%,"23,509,004","-24,445,537"
25,4:00 AM ,"3,445,002,098","2,464,429,470","1,094,101,692","19,875,763",NO,YES,5.6,"980,572,628",,City (Time Zone),Current Time,,,,139.79%,71.54%,"34,450,021","-24,644,295"
26,5:00 AM ,"3,495,612,113","2,673,540,411","50,610,015","209,110,941",NO,YES,5.7,"822,071,702",,New York (EST),7/7/2018 5:00 AM,,,,130.75%,76.48%,"34,956,121","-26,735,404"
27,6:00 AM ,"3,526,392,912","2,893,493,236","30,780,799","219,952,825",NO,YES,5.8,"632,899,676",,Chicago (CST),7/7/2018 4:00 AM,,,,121.87%,82.05%,"35,263,929","-28,934,932"
28,7:00 AM ,"3,558,675,844","3,137,676,725","32,282,932","244,183,489",NO,YES,5.9,"420,999,119",,Denver (MST),7/7/2018 3:00 AM,,,,113.42%,88.17%,"35,586,758","-31,376,767"
29,8:00 AM ,"3,595,904,398","3,432,006,387","37,228,554","294,329,662",NO,YES,6.0,"163,898,011",,Los Angeles (PST),7/7/2018 2:00 AM,,,,104.78%,95.44%,"35,959,044","-34,320,064"
30,9:00 AM ,"3,636,565,938","3,796,963,497","40,661,540","364,957,110",YES,NO,6.1,"-160,397,559",,London (GMT),7/7/2018 10:00,,,,95.78%,104.41%,"36,365,659","-37,969,635"
31,10:00 AM ,"5,032,470,712","3,816,434,565","1,395,904,774","19,471,068",NO,YES,6.2,"1,216,036,147",,Berlin (CET),7/7/2018 11:00,,,,131.86%,75.84%,"50,324,707","-38,164,346"
32,11:00 AM ,"5,099,032,875","4,261,876,177","66,562,163","445,441,612",NO,YES,6.3,"837,156,698",,Tokyo (JST),2018/7/7 18:00,,,,119.64%,83.58%,"50,990,329","-42,618,762"
33,12:00 PM ,"5,135,175,704","4,666,737,014","36,142,829","404,860,837",NO,YES,6.4,"468,438,690",,Sydney (AEST),7/7/2018 7:00 PM,,,,110.04%,90.88%,"51,351,757","-46,667,370"
34,1:00 PM ,"5,166,505,038","5,032,889,894","31,329,334","366,152,880",NO,YES,6.5,"133,615,144",,,,,,,102.65%,97.41%,"51,665,050","-50,328,899"
35,2:00 PM ,"5,194,612,238","5,367,258,142","28,107,200","334,368,248",YES,NO,6.6,"-172,645,904",,,,,,,96.78%,103.32%,"51,946,122","-53,672,581"
36,3:00 PM ,"6,156,233,975","5,381,795,417","961,621,737","14,537,275",NO,YES,6.7,"774,438,558",,,,,,,114.39%,87.42%,"61,562,340","-53,817,954"
37,4:00 PM ,"6,201,184,945","5,751,796,667","44,950,970","370,001,250",NO,YES,6.8,"449,388,278",,,,,,,107.81%,92.75%,"62,011,849","-57,517,967"
38,5:00 PM ,"6,228,231,083","6,156,079,063","27,046,138","404,282,396",NO,YES,6.9,"72,152,020",,,,,,,101.17%,98.84%,"62,282,311","-61,560,791"
39,6:00 PM ,"6,259,447,831","6,687,015,179","31,216,748","530,936,116",YES,NO,7.0,"-427,567,348",,,,,,,93.61%,106.83%,"62,594,478","-66,870,152"
40,7:00 PM ,"7,742,344,165","6,708,316,991","1,482,896,334","21,301,812",NO,YES,7.1,"1,034,027,174",,,,,,,115.41%,86.64%,"77,423,442","-67,083,170"
41,8:00 PM ,"7,804,310,518","7,458,288,781","61,966,353","749,971,790",NO,YES,7.2,"346,021,737",,,,,,,104.64%,95.57%,"78,043,105","-74,582,888"
42,9:00 PM ,"7,832,947,090","8,126,289,700","28,636,572","668,000,919",YES,NO,7.3,"-293,342,610",,,,,,,96.39%,103.74%,"78,329,471","-81,262,897"
43,10:00 PM ,"9,282,227,122","8,150,451,294","1,449,280,032","24,161,594",NO,YES,7.4,"1,131,775,828",,,,,,,113.89%,87.81%,"92,822,271","-81,504,513"
44,11:00 PM ,"9,349,589,983","9,040,571,182","67,362,861","890,119,888",NO,YES,7.5,"309,018,801",,,,,,,103.42%,96.69%,"93,495,900","-90,405,712"
45,12:00 AM ,"9,416,361,014","10,110,739,657","66,771,031","1,070,168,475",N/A,N/A,N/A,"-694,378,643",,,,,,,93.13%,107.37%,"94,163,610","-101,107,397"