Duration,EST,Ike (Total),Zelgius (Total),Ike (Hourly),Zelgius (Hourly),Ike Bonus,Zelgius Bonus,Multiplier,Lead Difference Ike vs Zelgius,,Ike,Zelgius ,1st Hr Ratio,Current Ratio,Round Over?,Ike % Difference (<=99 for Bonus),Zelgius % Difference (<=99 for Bonus),Top Multiplier Line,Bot Multiplier Line
0,3:00 AM ,0,0,0,0,N/A,N/A,3.1,0,Hourly Avg,"58,740,158","24,239,077",2.1888 : 1,2.4234 : 1,YES,,,0,0
1,4:00 AM ,"19,227,242","8,784,503","19,227,242","8,784,503",NO,YES,3.2,"10,442,739",Bonus Avg,"219,116,378","63,533,442",,,,218.88%,45.69%,"192,272","-87,845"
2,5:00 AM ,"47,940,162","119,280,279","28,712,920","110,495,776",YES,NO,3.3,"-71,340,117",Current Total,"11,632,220,319","10,615,780,068",,,,40.19%,248.81%,"479,402","-1,192,803"
3,6:00 AM ,"364,987,057","136,433,636","317,046,895","17,153,357",NO,YES,3.4,"228,553,421",Bonus Active,NO,YES,,,,267.52%,37.38%,"3,649,871","-1,364,336"
4,7:00 AM ,"406,380,893","302,421,774","41,393,836","165,988,138",NO,YES,3.5,"103,959,119",,The sheet was last updated by the bot at 5:15:15 AM EDT,,,,,134.38%,74.42%,"4,063,809","-3,024,218"
5,8:00 AM ,"448,878,266","495,470,496","42,497,373","193,048,722",YES,NO,3.6,"-46,592,230",,,,,,,90.60%,110.38%,"4,488,783","-4,954,705"
6,9:00 AM ,"1,042,286,770","524,769,638","593,408,504","29,299,142",NO,YES,3.7,"517,517,132",,,,,,,198.62%,50.35%,"10,422,868","-5,247,696"
7,10:00 AM ,"1,109,263,449","792,981,365","66,976,679","268,211,727",NO,YES,3.8,"316,282,084",,,,,,,139.89%,71.49%,"11,092,634","-7,929,814"
8,11:00 AM ,"1,167,168,208","1,055,747,853","57,904,759","262,766,488",NO,YES,3.9,"111,420,355",,,,,,,110.55%,90.45%,"11,671,682","-10,557,479"
9,12:00 PM ,"1,221,302,332","1,287,942,836","54,134,124","232,194,983",YES,NO,4.0,"-66,640,504",,,,,,,94.83%,105.46%,"12,213,023","-12,879,428"
10,1:00 PM ,"1,897,409,724","1,313,213,788","676,107,392","25,270,952",NO,YES,4.1,"584,195,936",,,,,,,144.49%,69.21%,"18,974,097","-13,132,138"
11,2:00 PM ,"1,959,910,786","1,533,164,514","62,501,062","219,950,726",NO,YES,4.2,"426,746,272",,,,,,,127.83%,78.23%,"19,599,108","-15,331,645"
12,3:00 PM ,"2,007,857,629","1,750,266,594","47,946,843","217,102,080",NO,YES,4.3,"257,591,035",,,,,,,114.72%,87.17%,"20,078,576","-17,502,666"
13,4:00 PM ,"2,053,881,156","1,953,963,799","46,023,527","203,697,205",NO,YES,4.4,"99,917,357",,,,,,,105.11%,95.14%,"20,538,812","-19,539,638"
14,5:00 PM ,"2,108,154,277","2,181,487,329","54,273,121","227,523,530",YES,NO,4.5,"-73,333,052",,,,,,,96.64%,103.48%,"21,081,543","-21,814,873"
15,6:00 PM ,"2,967,145,018","2,205,359,138","858,990,741","23,871,809",NO,YES,4.6,"761,785,880",,,,,,,134.54%,74.33%,"29,671,450","-22,053,591"
16,7:00 PM ,"3,042,944,817","2,508,559,906","75,799,799","303,200,768",NO,YES,4.7,"534,384,911",,,,,,,121.30%,82.44%,"30,429,448","-25,085,599"
17,8:00 PM ,"3,094,338,855","2,785,309,558","51,394,038","276,749,652",NO,YES,4.8,"309,029,297",,,,,,,111.09%,90.01%,"30,943,389","-27,853,096"
18,9:00 PM ,"3,139,999,468","3,017,692,114","45,660,613","232,382,556",NO,YES,4.9,"122,307,354",,,,,,,104.05%,96.10%,"31,399,995","-30,176,921"
19,10:00 PM ,"3,184,925,683","3,252,323,344","44,926,215","234,631,230",YES,NO,5.0,"-67,397,661",,,,,,,97.93%,102.12%,"31,849,257","-32,523,233"
20,11:00 PM ,"4,307,875,744","3,278,136,535","1,122,950,061","25,813,191",NO,YES,5.1,"1,029,739,209",,,,,,,131.41%,76.10%,"43,078,757","-32,781,365"
21,12:00 AM ,"4,389,020,245","3,618,697,501","81,144,501","340,560,966",NO,YES,5.2,"770,322,744",,,,,,,121.29%,82.45%,"43,890,202","-36,186,975"
22,1:00 AM ,"4,434,786,130","3,896,098,851","45,765,885","277,401,350",NO,YES,5.3,"538,687,279",,,,,,,113.83%,87.85%,"44,347,861","-38,960,989"
23,2:00 AM ,"4,473,985,787","4,131,784,480","39,199,657","235,685,629",NO,YES,5.4,"342,201,307",,,,,,,108.28%,92.35%,"44,739,858","-41,317,845"
24,3:00 AM ,"4,511,234,639","4,365,537,934","37,248,852","233,753,454",NO,YES,5.5,"145,696,705",,,,,,,103.34%,96.77%,"45,112,346","-43,655,379"
25,4:00 AM ,"4,583,243,642","4,791,613,049","72,009,003","426,075,115",YES,NO,5.6,"-208,369,407",,City (Time Zone),Current Time,,,,95.65%,104.55%,"45,832,436","-47,916,130"
26,5:00 AM ,"5,880,356,909","4,819,525,594","1,297,113,267","27,912,545",NO,YES,5.7,"1,060,831,315",,New York (EST),7/7/2018 5:00 AM,,,,122.01%,81.96%,"58,803,569","-48,195,256"
27,6:00 AM ,"5,960,820,756","5,182,697,457","80,463,847","363,171,863",NO,YES,5.8,"778,123,299",,Chicago (CST),7/7/2018 4:00 AM,,,,115.01%,86.95%,"59,608,208","-51,826,975"
28,7:00 AM ,"6,018,807,944","5,580,717,593","57,987,188","398,020,136",NO,YES,5.9,"438,090,351",,Denver (MST),7/7/2018 3:00 AM,,,,107.85%,92.72%,"60,188,079","-55,807,176"
29,8:00 AM ,"6,081,074,405","6,029,578,824","62,266,461","448,861,231",NO,NO,6.0,"51,495,581",,Los Angeles (PST),7/7/2018 2:00 AM,,,,100.85%,99.15%,"60,810,744","-60,295,788"
30,9:00 AM ,"6,154,170,009","6,066,114,433","73,095,604","36,535,609",NO,YES,6.1,"88,055,576",,London (GMT),7/7/2018 10:00,,,,101.45%,98.57%,"61,541,700","-60,661,144"
31,10:00 AM ,"6,224,844,502","6,633,535,472","70,674,493","567,421,039",YES,NO,6.2,"-408,690,970",,Berlin (CET),7/7/2018 11:00,,,,93.84%,106.57%,"62,248,445","-66,335,355"
32,11:00 AM ,"8,334,726,960","6,667,793,366","2,109,882,458","34,257,894",NO,YES,6.3,"1,666,933,594",,Tokyo (JST),2018/7/7 18:00,,,,125.00%,80.00%,"83,347,270","-66,677,934"
33,12:00 PM ,"8,433,989,964","7,203,808,195","99,263,004","536,014,829",NO,YES,6.4,"1,230,181,769",,Sydney (AEST),7/7/2018 7:00 PM,,,,117.08%,85.41%,"84,339,900","-72,038,082"
34,1:00 PM ,"8,491,053,010","7,631,420,686","57,063,046","427,612,491",NO,YES,6.5,"859,632,324",,,,,,,111.26%,89.88%,"84,910,530","-76,314,207"
35,2:00 PM ,"8,538,705,485","8,010,749,237","47,652,475","379,328,551",NO,YES,6.6,"527,956,248",,,,,,,106.59%,93.82%,"85,387,055","-80,107,492"
36,3:00 PM ,"8,584,102,221","8,357,973,884","45,396,736","347,224,647",NO,YES,6.7,"226,128,337",,,,,,,102.71%,97.37%,"85,841,022","-83,579,739"
37,4:00 PM ,"8,627,353,348","8,698,403,795","43,251,127","340,429,911",NO,NO,6.8,"-71,050,447",,,,,,,99.18%,100.82%,"86,273,533","-86,984,038"
38,5:00 PM ,"8,680,057,830","8,722,433,348","52,704,482","24,029,553",NO,NO,6.9,"-42,375,518",,,,,,,99.51%,100.49%,"86,800,578","-87,224,333"
39,6:00 PM ,"8,741,628,110","8,740,773,493","61,570,280","18,340,145",NO,NO,7.0,"854,617",,,,,,,100.01%,99.99%,"87,416,281","-87,407,735"
40,7:00 PM ,"8,805,856,120","8,761,421,650","64,228,010","20,648,157",NO,NO,7.1,"44,434,470",,,,,,,100.51%,99.50%,"88,058,561","-87,614,217"
41,8:00 PM ,"8,868,844,234","8,780,386,620","62,988,114","18,964,970",NO,NO,7.2,"88,457,614",,,,,,,101.01%,99.00%,"88,688,442","-87,803,866"
42,9:00 PM ,"8,926,793,414","8,798,306,236","57,949,180","17,919,616",NO,YES,7.3,"128,487,178",,,,,,,101.46%,98.56%,"89,267,934","-87,983,062"
43,10:00 PM ,"8,983,467,478","9,525,848,940","56,674,064","727,542,704",YES,NO,7.4,"-542,381,462",,,,,,,94.31%,106.04%,"89,834,675","-95,258,489"
44,11:00 PM ,"11,466,802,619","9,560,633,650","2,483,335,141","34,784,710",NO,YES,7.5,"1,906,168,969",,,,,,,119.94%,83.38%,"114,668,026","-95,606,337"
45,12:00 AM ,"11,632,220,319","10,615,780,068","165,417,700","1,055,146,418",N/A,N/A,N/A,"1,016,440,251",,,,,,,109.57%,91.26%,"116,322,203","-106,157,801"